mal_id	rank	title	url	start_date	members	score	source	duration	rating	favorites	rating_count	studio	popularity	global_rank	genres
28805	33	Bakemono no Ko	https://myanimelist.net/anime/28805/Bakemono_no_Ko	07-2015	243003	8.41	Original	1 hr 59 min	PG-13 - Teens 13 or older	2352	132289	Studio Chizu	430	147	Adventure,Supernatural
11979	34	Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari	https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari	10-2012	140408	8.4	Original	1 hr 49 min	PG-13 - Teens 13 or older	489	70843	Shaft	813	156	Drama,Magic,Psychological,Thriller
5	35	Cowboy Bebop: Tengoku no Tobira	https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira	09-2001	227244	8.39	Original	1 hr 55 min	R - 17+ (violence & profanity)	951	135237	Bones	479	163	Action,Drama,Mystery,Sci-Fi,Space
3784	36	Evangelion: 2.0 You Can (Not) Advance	https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance	07-2009	291517	8.39	Original	1 hr 52 min	PG-13 - Teens 13 or older	2483	171370	Khara	342	164	Action,Sci-Fi,Mecha
437	37	Perfect Blue	https://myanimelist.net/anime/437/Perfect_Blue	02-1998	262689	8.39	Novel	1 hr 20 min	R+ - Mild Nudity	6185	137057	Madhouse	386	165	Dementia,Drama,Horror,Psychological
523	38	Tonari no Totoro	https://myanimelist.net/anime/523/Tonari_no_Totoro	04-1988	541524	8.39	Original	1 hr 26 min	G - All Ages	5446	341835	Studio Ghibli	119	168	Adventure,Comedy,Supernatural
37055	39	Youjo Senki Movie	https://myanimelist.net/anime/37055/Youjo_Senki_Movie	02-2019	97713	8.39	Light novel	1 hr 38 min	R - 17+ (violence & profanity)	502	36241	Nut	1154	169	Action,Military,Magic
31812	40	Kuroshitsuji Movie: Book of the Atlantic	https://myanimelist.net/anime/31812/Kuroshitsuji_Movie__Book_of_the_Atlantic	01-2017	97500	8.38	Manga	1 hr 40 min	R - 17+ (violence & profanity)	949	37216	A-1 Pictures	1157	171	Action,Mystery,Comedy,Historical,Demons,Supernatural,Shounen
513	41	Tenkuu no Shiro Laputa	https://myanimelist.net/anime/513/Tenkuu_no_Shiro_Laputa	08-1986	261634	8.36	Original	2 hr 5 min	PG - Children	2442	163312	Studio Ghibli	389	184	Adventure,Fantasy,Romance,Sci-Fi
1365	42	Detective Conan Movie 06: The Phantom of Baker Street	https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street	04-2002	48244	8.35	Manga	1 hr 47 min	PG-13 - Teens 13 or older	164	28949	TMS Entertainment	1990	187	Adventure,Mystery,Police,Shounen
25537	43	Fate/stay night Movie: Heaven's Feel - I. Presage Flower	https://myanimelist.net/anime/25537/Fate_stay_night_Movie__Heavens_Feel_-_I_Presage_Flower	10-2017	183747	8.35	Visual novel	2 hr	R - 17+ (violence & profanity)	1369	70478	ufotable	605	188	Action,Fantasy,Magic,Supernatural
9617	44	K-On! Movie	https://myanimelist.net/anime/9617/K-On_Movie	12-2011	189936	8.35	4-koma manga	1 hr 50 min	PG-13 - Teens 13 or older	1638	110203	Kyoto Animation	582	191	Music,Slice of Life,Comedy
35848	45	Promare	https://myanimelist.net/anime/35848/Promare	05-2019	73296	8.35	Original	1 hr 51 min	PG-13 - Teens 13 or older	959	19884	Trigger	1479	193	Action,Mecha,Sci-Fi,Super Power
2418	46	Stranger: Mukou Hadan	https://myanimelist.net/anime/2418/Stranger__Mukou_Hadan	09-2007	221055	8.35	Original	1 hr 43 min	R - 17+ (violence & profanity)	2442	114538	Bones	495	195	Action,Adventure,Historical,Samurai
30346	47	Doukyuusei (Movie)	https://myanimelist.net/anime/30346/Doukyuusei_Movie	02-2016	100512	8.33	Manga	1 hr	PG-13 - Teens 13 or older	2368	49421	A-1 Pictures	1117	205	Slice of Life,Romance,School,Shounen Ai
18617	48	Girls & Panzer Movie	https://myanimelist.net/anime/18617/Girls___Panzer_Movie	11-2015	63164	8.32	Original	2 hr	PG-13 - Teens 13 or older	928	32157	Actas	1642	210	Sports,Military,School
43	49	Koukaku Kidoutai	https://myanimelist.net/anime/43/Koukaku_Kidoutai	11-1995	407187	8.31	Manga	1 hr 22 min	R+ - Mild Nudity	9285	220779	Production I.G	217	219	Action,Mecha,Police,Psychological,Sci-Fi,Seinen
6675	50	Redline	https://myanimelist.net/anime/6675/Redline	08-2009	211736	8.31	Original	1 hr 42 min	R+ - Mild Nudity	3285	118992	Madhouse	524	223	Action,Sci-Fi,Cars,Sports
5460	51	Detective Conan Movie 13: The Raven Chaser	https://myanimelist.net/anime/5460/Detective_Conan_Movie_13__The_Raven_Chaser	04-2009	37480	8.3	Manga	1 hr 51 min	PG-13 - Teens 13 or older	61	21231	Tokyo Movie Shinsha	2312	225	Action,Police,Mystery,Shounen
15227	52	Kono Sekai no Katasumi ni	https://myanimelist.net/anime/15227/Kono_Sekai_no_Katasumi_ni	11-2016	86259	8.3	Manga	2 hr 36 min	PG-13 - Teens 13 or older	662	32103	MAPPA	1298	227	Drama,Historical,Seinen
38234	53	One Piece Movie 14: Stampede	https://myanimelist.net/anime/38234/One_Piece_Movie_14__Stampede	08-2019	31350	8.3	Manga	1 hr 41 min	PG-13 - Teens 13 or older	293	9445	Toei Animation	2553	230	Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen
39741	54	Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou	https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou	09-2019	50781	8.3	Light novel	1 hr 31 min	PG-13 - Teens 13 or older	149	5414	Kyoto Animation	1921	231	Drama,Fantasy,Slice of Life
40080	55	Quanzhi Gaoshou zhi Dianfeng Rongyao	https://myanimelist.net/anime/40080/Quanzhi_Gaoshou_zhi_Dianfeng_Rongyao	08-2019	12051	8.29	Novel	1 hr 38 min	None	55	4692	NA	4064	240	
1033	56	Sennen Joyuu	https://myanimelist.net/anime/1033/Sennen_Joyuu	09-2002	103820	8.29	Original	1 hr 27 min	PG-13 - Teens 13 or older	1648	48782	Madhouse	1093	242	Action,Adventure,Drama,Fantasy,Historical,Romance
759	57	Tokyo Godfathers	https://myanimelist.net/anime/759/Tokyo_Godfathers	11-2003	160087	8.29	Original	1 hr 32 min	PG-13 - Teens 13 or older	1369	80459	Madhouse	711	245	Comedy,Drama
